date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:51:01	71989/71989	---M-Z	200	added ('OK')	text/html	etag:%2211935-5da43f37c9dea-gzip%22	https://chakoteya.net/NextGen/episodes.htm	/tmp/tng/chakoteya.net/NextGen/episodes.html	(from )
10:51:03	137/137	---M-Z	200	added ('OK')	text/plain	etag:%22fc-6254cd3ad8f56-gzip%22	https://chakoteya.net/robots.txt		(from )
10:51:03	71053/71053	---M-Z	200	added ('OK')	text/html	etag:%221158d-601f2df58629b-gzip%22	https://chakoteya.net/NextGen/101.htm	/tmp/tng/chakoteya.net/NextGen/101.html	(from https://chakoteya.net/NextGen/episodes.htm)
10:51:04	42355/42355	---M-Z	200	added ('OK')	text/html	etag:%22a573-57fe5996f4d80-gzip%22	https://chakoteya.net/NextGen/103.htm	/tmp/tng/chakoteya.net/NextGen/103.html	(from https://chakoteya.net/NextGen/episodes.htm)
10:51:05	37934/37934	---M-Z	200	added ('OK')	text/html	etag:%22942e-57fe5996f4d80-gzip%22	https://chakoteya.net/NextGen/104.htm	/tmp/tng/chakoteya.net/NextGen/104.html	(from https://chakoteya.net/NextGen/episodes.htm)
10:51:06	37529/37529	---M-Z	200	added ('OK')	text/html	etag:%229299-57fe5997e8fc0-gzip%22	https://chakoteya.net/NextGen/107.htm	/tmp/tng/chakoteya.net/NextGen/107.html	(from https://chakoteya.net/NextGen/episodes.htm)
10:51:07	39911/39911	---M-Z	200	added ('OK')	text/html	etag:%229be7-627092f6a7b18-gzip%22	https://chakoteya.net/NextGen/106.htm	/tmp/tng/chakoteya.net/NextGen/106.html	(from https://chakoteya.net/NextGen/episodes.htm)
10:51:08	39176/39176	---M-Z	200	added ('OK')	text/html	etag:%229908-57fe5997e8fc0-gzip%22	https://chakoteya.net/NextGen/108.htm	/tmp/tng/chakoteya.net/NextGen/108.html	(from https://chakoteya.net/NextGen/episodes.htm)
10:51:09	37128/37128	---M-Z	200	added ('OK')	text/html	etag:%229108-57fe5997e8fc0-gzip%22	https://chakoteya.net/NextGen/109.htm	/tmp/tng/chakoteya.net/NextGen/109.html	(from https://chakoteya.net/NextGen/episodes.htm)
10:51:10	39922/39922	---M-Z	200	added ('OK')	text/html	etag:%229bf2-57fe5998dd200-gzip%22	https://chakoteya.net/NextGen/110.htm	/tmp/tng/chakoteya.net/NextGen/110.html	(from https://chakoteya.net/NextGen/episodes.htm)
10:51:11	32635/32635	---M-Z	200	added ('OK')	text/html	etag:%227f7b-609cf62275cb3-gzip%22	https://chakoteya.net/NextGen/111.htm	/tmp/tng/chakoteya.net/NextGen/111.html	(from https://chakoteya.net/NextGen/episodes.htm)
10:51:12	35399/35399	---M-Z	200	added ('OK')	text/html	etag:%228a47-57fe5996f4d80-gzip%22	https://chakoteya.net/NextGen/105.htm	/tmp/tng/chakoteya.net/NextGen/105.html	(from https://chakoteya.net/NextGen/episodes.htm)
10:51:13	37198/37198	---M-Z	200	added ('OK')	text/html	etag:%22914e-57fe5999d1440-gzip%22	https://chakoteya.net/NextGen/113.htm	/tmp/tng/chakoteya.net/NextGen/113.html	(from https://chakoteya.net/NextGen/episodes.htm)
10:51:14	35835/35835	---M-Z	200	added ('OK')	text/html	etag:%228bfb-57fe5999d1440-gzip%22	https://chakoteya.net/NextGen/114.htm	/tmp/tng/chakoteya.net/NextGen/114.html	(from https://chakoteya.net/NextGen/episodes.htm)
10:51:15	44406/44406	---M-Z	200	added ('OK')	text/html	etag:%22ad76-57fe5999d1440-gzip%22	https://chakoteya.net/NextGen/115.htm	/tmp/tng/chakoteya.net/NextGen/115.html	(from https://chakoteya.net/NextGen/episodes.htm)
10:51:16	43447/43447	---M-Z	200	added ('OK')	text/html	etag:%22a9b7-57fe5999d1440-gzip%22	https://chakoteya.net/NextGen/116.htm	/tmp/tng/chakoteya.net/NextGen/116.html	(from https://chakoteya.net/NextGen/episodes.htm)
10:51:17	39980/39980	---M-Z	200	added ('OK')	text/html	etag:%229c2c-57fe5998dd200-gzip%22	https://chakoteya.net/NextGen/112.htm	/tmp/tng/chakoteya.net/NextGen/112.html	(from https://chakoteya.net/NextGen/episodes.htm)
